video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
zWO2IJ8gNP8,18.27.05,保護猫とのお別れ2  名前を呼んだら走って来る猫！になる！まさかの大金星に涙 ♯17,Afro Blue,15,2018-05-26T07:00:02.000Z,27526,1916,24,215
zWlAwYRJj3c,18.07.03,【埼玉】レトロ自販機の密集地でプチ贅沢うどんを味わう！,はいじぃ迷作劇場,19,2018-03-06T10:00:11.000Z,91496,1161,248,335
zWlAwYRJj3c,18.07.03,【埼玉】レトロ自販機の密集地でプチ贅沢うどんを味わう！,はいじぃ迷作劇場,19,2018-03-06T10:00:11.000Z,91496,1161,248,335
zWKVQ_nAEsQ,18.06.05,2018年05月05日 オードリーのオールナイトニッポン,Audrey,22,2018-05-05T18:01:17.000Z,4527,27,7,4
zWKVQ_nAEsQ,18.06.05,2018年05月05日 オードリーのオールナイトニッポン,Audrey,22,2018-05-05T18:01:17.000Z,4527,27,7,4
ZwJs5Zc9oFk,18.06.03,[MV] Reol - エンド,Reol Official,10,2018-03-05T12:00:02.000Z,83806,10458,55,887
zWgXLP2N34Q,18.30.05,【夢占い】きのう見た夢はなんですか？レオナードの家が火事に！？【笑える授業】【14時間目】,ぼんちゃん,20,2018-05-29T08:00:06.000Z,17887,310,14,205
zwGeT4fuOr4,18.24.03,【モンストLIVE配信 】負けたら終わり！連覇の道(覇者の塔)をリベンジ攻略【なうしろ】,なうしろ - GameWith,20,2018-03-24T08:56:28.000Z,185962,1163,145,103
zwGeT4fuOr4,18.24.03,【モンストLIVE配信 】負けたら終わり！連覇の道(覇者の塔)をリベンジ攻略【なうしろ】,なうしろ - GameWith,20,2018-03-24T08:56:28.000Z,185962,1163,145,103
ZwDkwvldX40,18.09.03,誰も触れない日本の闇2選,アシタノワダイ,25,2018-03-08T10:00:10.000Z,780739,6293,1890,2767
ZwDkwvldX40,18.09.03,誰も触れない日本の闇2選,アシタノワダイ,25,2018-03-08T10:00:10.000Z,780739,6294,1890,2767
ZwDkwvldX40,18.10.03,誰も触れない日本の闇2選,アシタノワダイ,25,2018-03-08T10:00:10.000Z,1401320,8306,2983,3638
zWBU3ZAdHZ4,18.29.04,大谷4号ソロに「文句なし！」現地実況アナを解説,さわけん（おっさん英会話）,17,2018-04-28T06:43:31.000Z,72000,303,25,43
zw8KjASn4LA,18.11.02,かれんはmanakaのパンツを見てた？Little Glee Monster初めて会った時の印象,LGM tube,22,2018-02-10T11:17:56.000Z,16304,486,4,62
Zw5OhYVuifk,18.11.05,1流YouTuberの初期動画から学ぶ歌「伝説始まりました」,ウタエル utael,10,2018-05-10T09:20:55.000Z,76424,3109,169,395
zw4-rfJUt7s,18.18.03,ワイドナショー  2018年03月18日 180318,Marcelo Filho,24,2018-03-18T02:57:36.000Z,67022,200,50,97
zw4-rfJUt7s,18.18.03,ワイドナショー  2018年03月18日 180318,Marcelo Filho,24,2018-03-18T02:57:36.000Z,67022,200,50,97
zw2hnph-Hvo,18.03.05,【TOKIO】TOKIO記者会見フル（高画質）,パパラッチ,24,2018-05-02T14:42:00.000Z,283869,1011,279,728
zw2hnph-Hvo,18.03.05,【TOKIO】TOKIO記者会見フル（高画質）,パパラッチ,24,2018-05-02T14:42:00.000Z,283869,1011,279,728
zvZNX3i6Kfs,18.28.02,防弾少年団 妄想 愛すること part３,BTSフリータイム,22,2018-02-27T09:45:30.000Z,5505,124,5,49
ZVzE2hV0TuI,18.11.06,ทุบโต๊ะข่าว : เมียอุ้มท้องเจอผัวซุกกิ๊ก เปิดใจขอเลิกผู้ชายห่วย ลั่นเลี้ยงลูกได้ 10/06/61,AMARIN TVHD,25,2018-06-10T16:28:21.000Z,416947,2524,278,2136
ZVxSo7wKOCc,18.02.05,TOKIOの４人　謝罪会見を予定,nod,24,2018-05-01T10:10:58.000Z,142898,0,0,233
ZVxSo7wKOCc,18.02.05,TOKIOの４人　謝罪会見を予定,nod,24,2018-05-01T10:10:58.000Z,142898,0,0,233
ZvVZrquausk,18.06.05,KAT-TUN　シングル全27曲紹介,Tomo W,22,2018-05-05T11:00:05.000Z,37836,1497,32,290
ZvVZrquausk,18.06.05,KAT-TUN　シングル全27曲紹介,Tomo W,22,2018-05-05T11:00:05.000Z,37836,1497,32,290
ZvVZrquausk,18.07.05,KAT-TUN　シングル全27曲紹介,Tomo W,22,2018-05-05T11:00:05.000Z,77771,2466,58,463
ZVu-omfkeuI,18.26.04,山川 穂高 9号 3ラン ホームラン 2018年4月25日 ソフトバンクvs西武,ホームラン速報,17,2018-04-25T11:22:51.000Z,76088,382,24,473
